name,district,address,latitude,longitude,phone,google_maps_place_id,source
"Government Veterinary Hospital, Kadhapalli",Namakkal,"Kadhapalli, Namakkal, Tamil Nadu 637019",11.2750234,78.1370699,,ChIJw8BMHQDPqzsR4GBbKxGN5OA,Google Places
"Govt Veterinary Hospital, Kamaraj Nagar",Namakkal,"Kamaraj Nagar, Namakkal, Tamil Nadu 637001",11.2193848,78.1678418,,ChIJlRZpKwDPqzsRvwQi-5Raj1o,Google Places
"Government Veterinary Hospital, Valaiyappatti",Namakkal,"Rettayampatti - Valaiyappatti Rd, Valaiyappatti, Namakkal, Tamil Nadu 637020",11.1240490,78.2314740,,ChIJj4cdMTrLqzsRoezICMfHvZ4,Google Places
"Government Veterinary Hospital, Kolandanoor",Karur,"Kolandanoor, Karur, Tamil Nadu 639004",10.9516075,78.0930815,,ChIJwY7tzYAvqjsRdN1cL-C5VFU,Google Places
"Government Veterinary Hospital, Kaveripattinam",Krishnagiri,"Palacode Rd, Kaveripattinam, Tamil Nadu 635112",12.4167492,78.2157305,+91 86820 19319,ChIJK0OVUdo2rDsRrr-Ry8fZV78,Google Places
"Govt Veterinary Hospital, Kamandoddi",Krishnagiri,"Kamandoddi, Krishnagiri, Tamil Nadu 635117",12.6825704,77.9417393,,ChIJf07z7cTXrTsRw1O0lZmpMoE,Google Places
"Animal's Hospital (Veterinary), Santhi Nagar",Krishnagiri,"37, Bangalore Rd, Santhi Nagar, Krishnagiri, Tamil Nadu 635002",12.5267394,78.2135113,,ChIJ3-n3rbw0rDsRD5DxhM1cERU,Google Places
"Government Veterinary Hospital, Lakkiampatty",Dharmapuri,"Lakkiampatty, Virupakshipuram, Tamil Nadu 636705",12.1076875,78.1514493,+91 4342 230 104,ChIJMeug8JUXrDsRLGQT798Mbfk,Google Places
"Government Veterinary Hospital, Allinagaram",Theni,"Sri Ram Nagar, Allinagaram, Theni, Tamil Nadu 625531",10.0256748,77.4791546,,ChIJZ73yMVJrBzsR-cjTvNqJdvU,Google Places
"Animal Husbandry Department Office",Sivaganga,"Veterinary office, Ks Kumaran Muthusamy Nagar, CB Colony, Sivaganga, Tamil Nadu 630561",9.8581415,78.4844238,,ChIJu1ojW4r7ADsRh-e4QoQ1wFg,Google Places
"Government Veterinary Dispensary, Anna Nagar West",Chennai,"Shanthi Niketan Colony, Anna Nagar West Extension, Chennai, Tamil Nadu 600101",13.0882134,80.1924394,,ChIJg9gtVuplUjoR7BeA2j2tTNo,Google Places
"Government Vet Clinic, CIT Nagar",Chennai,"Kannammapet, CIT Nagar, Chennai, Tamil Nadu 600017",13.0316080,80.2291550,,ChIJcdbiOABnUjoRNUbhMeBAI1c,Google Places
"Tamilnadu Government Animals Medical Clinic, Porur",Chennai,"30 Feet Rd, Ramakrishna Nagar, Porur, Chennai, Tamil Nadu 600116",13.0263585,80.1563518,,ChIJoRNRgORgUjoRHG3Y1e6TwJE,Google Places
"Government Veterinary Hospital, Perungudi",Chennai,"31, Veera Pandia Kattabomman St, Vijayendra Nagar, Perungudi, Chennai, Tamil Nadu 600096",12.9586799,80.2342171,+91 95515 30369,ChIJb0KrIHhdUjoRmVLKve2BqjU,Google Places
"Government Veterinary Hospital, Mudichur",Chennai,"Raja Rajeswari Nagar, Mudichur, Old Perungalathur, Chennai, Tamil Nadu 600063",12.9175462,80.0842669,,ChIJLWMvTQX1UjoRxTlklh17dZE,Google Places
"Govt Veterinary Hospital, East Tambaram",Chennai,"East Tambaram, Tambaram, Chennai, Tamil Nadu 600073",12.9213074,80.1375400,,ChIJAwLAzR5fUjoRSBKnERfDMWw,Google Places
"Veterinary Hospital, Chromepet (Nehru Nagar)",Chennai,"20, Chitlapakkam Main Rd, Nehru Nagar, Chromepet, Chennai, Tamil Nadu 600064",12.9409248,80.1384130,,ChIJYzlrDKpfUjoR0d2AcBcYHYE,Google Places
"Tamil Nadu Animal Husbandry Dept & Veterinary Hospital, Ambattur",Chennai,"Agasthiar St, Varadharaja Puram, Ramapuram, Ambattur, Chennai, Tamil Nadu 600053",13.1123440,80.1545146,,ChIJlSeDUaVjUjoRQMwFhvp_9Q4,Google Places
"Saidapet Veterinary Hospital, Nandanam",Chennai,"46, Fanepet 1st St, Fanepet, Nandanam, Chennai, Tamil Nadu 600035",13.0254229,80.2301147,,ChIJy_BIvwdnUjoRfuaBXSdwPfU,Google Places
"Govt Veterinary Hospital, Pammal",Chennai,"Moovendar Colony, Pammal, Tambaram, Chennai, Tamil Nadu 600075",12.9709583,80.1252741,,ChIJ6Q-HnMNfUjoRXeb3tqPd2Mw,Google Places
"Vet Hospital, Chromepet (Lakshmipuram)",Chennai,"Lakshmipuram, Chromepet, Chennai, Tambaram, Tamil Nadu 600044",12.9561630,80.1321691,,ChIJK7q8o7BfUjoRc4hzFtNGsho,Google Places
"Government Veterinary Hospital, Pattabiram",Chennai,"Anaicutche, Anaikattucherry, Chennai, Tamil Nadu 600072",13.1055295,80.0592382,,ChIJA85IBsSJUjoRTSYo2frV3xY,Google Places
